,0,1,2,3
0,Muhammadammad Ali,1.0,Donald Trump,1.0
1,Smail Ayad,0.9969021836688216,Barack Obama,0.5740908917897463
2,Najim Laachraoui,0.9967755292977041,Vladimir Putin,0.5421186529758996
3,Ibrahim El Bakraoui,0.9965987216542279,James Comey,0.37670355438188374
4,Muhammad Abrini,0.9942038583387569,Bashar Al Assad,0.2383293329764686
5,Khalid El Bakraoui,0.9937382670824998,Benjamin Netanyahu,0.22131907360067812
6,Seifeddine Rezgui,0.9927982131712203,Recep Tayyip Erdogan,0.21841752866308353
7,Meer Saameh Mubasheer,0.9897330371709869,Hillary Clinton,0.1974729048642841
8,Rohan Imtiaz,0.9897330371709868,Rex Tillerson,0.17076237604120928
9,Foued Muhammad Aggad,0.9896008079110123,Michael Flynn,0.15691549187243412
10,Adel Kermiche,0.9893271228085544,Emmanuel Macron,0.14854190762193206
11,Michael Zehaf Bibeau,0.9893064076588174,Robertert Mueller,0.1127808776851175
12,Saleh Abdeslam,0.9890870112852637,Sean Spicer,0.11053139752767716
13,Rakhim Bulgarov,0.9890834862432024,Jared Kushner,0.10916831609365145
14,Vadim Osmanov,0.9890834862432024,Mahmoud Abbas,0.10084015177131951
15,Bilal Hadfi,0.9890834862432022,Bashar Assad,0.09707089091255404
16,Hasanah,0.9888721898591476,Jim Mattis,0.09327369610722858
17,Ahmad Muhammadazan,0.9888721898591476,Theresa May,0.090818364163385
18,Tarek Belgacem,0.9888721898591476,Devin Nunes,0.0897580895448163
19,Moussa Coulibaly,0.9888721898591476,James Mattis,0.08874023791635584
20,Ayoub,0.9888721898591475,Dmitry Peskov,0.08213959657581257
21,Dalal Al Hashimi,0.9888721898591475,Hr Mcmaster,0.08014131416838209
22,Ismail Mostefai,0.9888721898591475,Steve Bannon,0.0782479228856713
23,Samy Amimour,0.9888721898591475,Sergei Lavrov,0.0754244030869188
24,Sarah Hervouet,0.9888721898591475,John Mccain,0.07416461289669665
25,Chakib Ahrouh,0.9888721898591475,Sadiq Khan,0.07203379491479778
26,Arif Sunakim,0.9888721898591475,Abdul Fattah Al Sisi,0.06673268135787085
27,Safia Schmitter,0.9888721898591474,Salman,0.05797000428231858
28,Muhammad Ozturk,0.9888721898591474,Sergey Kislyak,0.055194459595443515
29,Riaz Khan Ahmadzai,0.9888721898591474,Angela Merkel,0.05446054391513356
30,Yasin Salhi,0.9888721898591474,Sergey Lavrov,0.05149724269783733
31,Al Jurah,0.9888721898591474,Paul Manafort,0.04976268203242043
32,Omar Abdul Hamid El Hussein,0.9888721898591474,Abdullah,0.045721342596128534
33,Muhammad Daleel,0.9888721898591474,George W Bush,0.04549810059441561
34,Ibrahim Sulayman,0.9888721898591474,Narendra Modi,0.04444107294385229
35,Khaled Babouri,0.9888721898591474,Hassan Rouhani,0.04244537458651238
36,Ines Madani,0.9888721898591474,Ashraf Ghani,0.040540924845544
37,Brahim Abdulslam,0.9888721898591473,Mahmud Abbas,0.0400039446472489
38,Khairul Islam Paye,0.9888721898591473,Sayfullo Saipov,0.0389205697199837
39,Dian Joni Kurnaiadi,0.9888721898591472,Mike Pence,0.03606886314491986
40,Enes Omaragic,0.9888721898591472,Chuck Schumer,0.03524763978796165
41,Sid Ahmad Ghlam,0.988872189859147,Tayyip Erdogan,0.034964631232730935
42,Muhammad,0.9132089537343453,Haider Al Abadi,0.03232447569855351
43,Muhammadammad,0.8814765914224552,Nikki Haley,0.032152283504073
44,Farhad Jabar,0.8261173743300058,John Kelly,0.03196393971937032
45,Larossi Abballa,0.8186390605068069,Saad Hariri,0.03073369733388602
46,Ihsas Khan,0.8182839887569449,Jeff Sessions,0.029664218944975642
47,Dahir Ahmad Adan,0.8182839887569446,Adam Schiff,0.029475985166883212
48,Abdul Numan Haider,0.8181091800068649,Jens Stoltenberg,0.029432349922971324
49,Ahmad Khan Rahami More,0.8181091800068649,Rod Rosenstein,0.029336000206596713
